revision,id,estado,fecha_alta_utc,fecha_inicio_utc,fecha_actualizacion_utc,fecha_fin_utc,unidad_responsable,actividad,alcance,repositorios_y_ramas,cortes_de_entrada,dependencias,resultado,verificacion,evidencias,referencia_calidad,siguiente_accion,observaciones
0,S0,en ejecución,2026-09-12T10:21:21Z,2026-09-12T10:21:21Z,2026-09-12T10:21:21Z,,Watson / W-S0,Puesta en servicio del registro Sucesos SV,Registro incremental desde S0; tres estados; historial de actualizaciones; entrada obligatoria en Léame primero; continuidad de registros de calidad y espejo; retirada del archivo de soporte inicio.md de sucesos.,SV-lenguaje-de-computacion: main; SV-matematica-semantica-cuaternaria: lab/playground-sv-permanente,Lenguaje be9e5e4d4041223223bd7d0dc38e1851414fd46a; laboratorio dd6d563ea7b75dd1d420f1fe542334b224a55886,,Estructura documental preparada; publicación y verificación de las copias pendientes.,Pendiente de cotejo de las publicaciones.,https://github.com/juantoniolloretegea/SV-lenguaje-de-computacion/blob/be9e5e4d4041223223bd7d0dc38e1851414fd46a/docs/calidad/tuberias-ia/integracion-adenda-ia-frame-y-catalogo-errores/REVISION_SECUENCIA_COBERTURA_Y_RELEVO_RETP_162.md,https://github.com/juantoniolloretegea/SV-lenguaje-de-computacion/blob/main/docs/calidad/REGISTRO_EVOLUCION_TECNICA_PROYECTO.md#retp-163,Publicar las dos copias y verificar su identidad y la retirada del archivo de soporte.,Actividad documental. No se han ejecutado nuevos contrastes funcionales. W-S0 identifica de forma estable a la unidad responsable de esta apertura.
0,S1,pendiente,2026-09-12T10:21:21Z,,2026-09-12T10:21:21Z,,Watson / W-S0,Contraste C/I de cobertura y comprobación independiente,"Integración de adenda IA y frame: selección completa frente a omisión de evidencia requerida con citas verdaderas; reutilización de custodia, entrega y lectura existentes.",SV-lenguaje-de-computacion: main; SV-matematica-semantica-cuaternaria: lab/playground-sv-permanente,Relevo RETP-162; el corte de ejecución se fijará antes de iniciar.,S0; contrato y criterios C/I de RETP-162,Actividad prevista en el relevo; sin ejecución.,Sin resultados de ejecución.,https://github.com/juantoniolloretegea/SV-lenguaje-de-computacion/blob/be9e5e4d4041223223bd7d0dc38e1851414fd46a/docs/calidad/tuberias-ia/integracion-adenda-ia-frame-y-catalogo-errores/REVISION_SECUENCIA_COBERTURA_Y_RELEVO_RETP_162.md,https://github.com/juantoniolloretegea/SV-lenguaje-de-computacion/blob/be9e5e4d4041223223bd7d0dc38e1851414fd46a/docs/calidad/REGISTRO_EVOLUCION_TECNICA_PROYECTO.md#retp-162,"Fijar caso, evidencia requerida, control completo, omisión, referencia independiente, montaje y presupuesto antes del contraste.",El catálogo conserva los errores durante el recorrido y se consolida al final del alcance correspondiente. Esta alta no acredita el contraste ni la prueba externa.
1,S0,finalizado,2026-09-12T10:21:21Z,2026-09-12T10:21:21Z,2026-09-12T10:23:08Z,2026-09-12T10:23:08Z,Watson / W-S0,Puesta en servicio del registro Sucesos SV,Registro incremental desde S0; tres estados; historial de actualizaciones; entrada obligatoria en Léame primero; continuidad de registros de calidad y espejo; retirada del archivo de soporte inicio.md de sucesos.,SV-lenguaje-de-computacion: main; SV-matematica-semantica-cuaternaria: lab/playground-sv-permanente,Lenguaje be9e5e4d4041223223bd7d0dc38e1851414fd46a; laboratorio dd6d563ea7b75dd1d420f1fe542334b224a55886,,"Registro puesto en servicio desde S0, con S1 pendiente, historial de cambios y entrada obligatoria en Léame primero. Retirado el archivo de soporte de la carpeta de sucesos.",Publicaciones de apertura cotejadas: cuatro archivos del registro idénticos entre repositorios; Léame primero idéntico; historial RETP previo conservado; inicio.md de sucesos ausente; sin cambios ajenos al alcance.,https://github.com/juantoniolloretegea/SV-lenguaje-de-computacion/commit/06da92137bcac75f3ae4b23ca059550fdf0a6a6c ; https://github.com/juantoniolloretegea/SV-matematica-semantica-cuaternaria/commit/c237e9d6dc06f481f75a3a874b3bfcf411a4ba32,https://github.com/juantoniolloretegea/SV-lenguaje-de-computacion/blob/main/docs/calidad/REGISTRO_EVOLUCION_TECNICA_PROYECTO.md#retp-163,Continuar S1 conforme a RETP-162 y actualizar su estado antes de iniciar.,Actividad documental. No se han ejecutado nuevos contrastes funcionales. W-S0 identifica de forma estable a la unidad responsable de esta apertura.
1,S1,en ejecución,2026-09-12T10:21:21Z,2026-09-12T10:37:36Z,2026-09-12T10:37:36Z,,Watson / W-S0,Contraste C/I de cobertura y comprobación independiente,"Integración de adenda IA y frame: selección completa frente a omisión de evidencia requerida con citas verdaderas; reutilización de custodia, entrega y lectura existentes.",SV-lenguaje-de-computacion: main; SV-matematica-semantica-cuaternaria: lab/playground-sv-permanente,Lenguaje 428d294c42602bc116fa0550262c25730017492e; laboratorio 0d6b386121a24e915ce550dc2b52186867f6fdd4; cápsula RETP-152 cotejada,S0; contrato y criterios C/I de RETP-162,Secuencia reevaluada; contrato de contraste y controles fijados antes de ejecutar.,"Fuentes, registro y espejo cotejados; contraste funcional aún sin ejecutar.",https://github.com/juantoniolloretegea/SV-lenguaje-de-computacion/blob/main/docs/calidad/tuberias-ia/integracion-adenda-ia-frame-y-catalogo-errores/s1-cobertura-independiente/CONTRATO_S1.md,https://github.com/juantoniolloretegea/SV-lenguaje-de-computacion/blob/main/docs/calidad/REGISTRO_EVOLUCION_TECNICA_PROYECTO.md#retp-164,"Observar la ruta existente y, si falta cobertura, materializar únicamente la comprobación documental definida.",El catálogo conserva los errores durante el recorrido y se consolida al final del alcance correspondiente. Esta alta no acredita el contraste ni la prueba externa.
2,S1,finalizado,2026-09-12T10:21:21Z,2026-09-12T10:37:36Z,2026-09-12T10:51:15Z,2026-09-12T10:51:15Z,Watson / W-S0,Contraste C/I de cobertura y comprobación independiente,"Integración de adenda IA y frame: selección completa frente a omisión de evidencia requerida con citas verdaderas; reutilización de custodia, entrega y lectura existentes.",SV-lenguaje-de-computacion: main; SV-matematica-semantica-cuaternaria: lab/playground-sv-permanente,Lenguaje 428d294c42602bc116fa0550262c25730017492e; laboratorio 0d6b386121a24e915ce550dc2b52186867f6fdd4; cápsula RETP-152 cotejada,S0; contrato y criterios C/I de RETP-162,Cobertura documental de dos piezas conforme en dos posiciones del banco. Ocho controles en seis ejecuciones; no cierre integral C/I ni A–L.,48 observaciones de ocho controles; cuatro cuerpos previos preservados; 29 capturas idénticas entre ejecuciones; dos sensibilidades detectadas y dos clientes forjados rechazados. Intentos instrumentales conservados.,https://github.com/juantoniolloretegea/SV-lenguaje-de-computacion/blob/main/docs/calidad/tuberias-ia/integracion-adenda-ia-frame-y-catalogo-errores/s1-cobertura-independiente/README.md,https://github.com/juantoniolloretegea/SV-lenguaje-de-computacion/blob/main/docs/calidad/REGISTRO_EVOLUCION_TECNICA_PROYECTO.md#retp-164,S2: fijar contraste causal de vigencia con una misma consulta inequívoca y montaje explícito.,P3-04 devuelve PETICION_AMBIGUA y no consulta la política; no acredita revocación aplicable. Sin modelos externos ni reserva abierta. Candidata nativa de laboratorio; sin promoción productiva.
0,S2,pendiente,2026-09-12T10:51:15Z,,2026-09-12T10:51:15Z,,Watson / W-S0,Contraste causal de vigencia con consulta inequívoca,"Continuar C/I: mismo encargo inequívoco con vigencia positiva y negativa; cobertura de evidencia, acceso independiente y diferencia de resolución bajo un montaje declarado.",SV-lenguaje-de-computacion: main; SV-matematica-semantica-cuaternaria: lab/playground-sv-permanente,Resultado S1 / RETP-164; el corte de ejecución se fijará antes de iniciar.,S1; criterios C/I de RETP-147 y relevo RETP-162,Pendiente de fijación del par causal y sus esperados; sin ejecución.,Sin resultados de ejecución.,https://github.com/juantoniolloretegea/SV-lenguaje-de-computacion/blob/main/docs/calidad/tuberias-ia/integracion-adenda-ia-frame-y-catalogo-errores/s1-cobertura-independiente/README.md,https://github.com/juantoniolloretegea/SV-lenguaje-de-computacion/blob/main/docs/calidad/REGISTRO_EVOLUCION_TECNICA_PROYECTO.md#retp-164-cierre-s1,"Identificar fuente contractual de vigencia y fijar el par, el montaje sucesor si procede y sus esperados antes de ejecutar; conservar P3-04 y las fuentes anteriores.",S1 no acredita una revocación aplicable porque su testigo negativo es ambiguo. No se abre otro frente ni se solicitan nuevas rondas externas.
1,S2,en ejecución,2026-09-12T10:51:15Z,2026-09-12T11:23:19Z,2026-09-12T11:23:19Z,,Watson / W-S0,Contraste causal de vigencia con consulta inequívoca,"Continuar C/I: mismo encargo inequívoco con vigencia positiva y negativa; cobertura de evidencia, acceso independiente y diferencia de resolución bajo un montaje declarado.",SV-lenguaje-de-computacion: main; SV-matematica-semantica-cuaternaria: lab/playground-sv-permanente,Lenguaje 111b4e8fc24481cc76be347e724d027e1c636973; laboratorio 35ea2ba7b397d7b8813be82ec8caeff4ff377bad,S1; criterios C/I de RETP-147 y relevo RETP-162,"Contrato, par causal, montaje sucesor y esperados fijados antes de ejecutar.",Fuentes y registros cotejados; 69 archivos base intactos y dos sustituciones declaradas; doce controles y dos sensibilidades previstos.,https://github.com/juantoniolloretegea/SV-lenguaje-de-computacion/blob/main/docs/calidad/tuberias-ia/integracion-adenda-ia-frame-y-catalogo-errores/s2-vigencia-causal/CONTRATO_S2.md,https://github.com/juantoniolloretegea/SV-lenguaje-de-computacion/blob/main/docs/calidad/REGISTRO_EVOLUCION_TECNICA_PROYECTO.md#retp-165,Ejecutar la cualificación nativa fijada y registrar resultado y evidencia.,Consulta A01 idéntica bajo dos vigencias en G1; integración P3-01/P3-11 con IDs conservados. Instantáneas sintéticas; sin revocación profesional ni reserva externa.
2,S2,finalizado,2026-09-12T10:51:15Z,2026-09-12T11:23:19Z,2026-09-12T11:28:10Z,2026-09-12T11:28:10Z,Watson / W-S0,Contraste causal de vigencia con consulta inequívoca,"Continuar C/I: mismo encargo inequívoco con vigencia positiva y negativa; cobertura de evidencia, acceso independiente y diferencia de resolución bajo un montaje declarado.",SV-lenguaje-de-computacion: main; SV-matematica-semantica-cuaternaria: lab/playground-sv-permanente,Lenguaje 111b4e8fc24481cc76be347e724d027e1c636973; laboratorio 35ea2ba7b397d7b8813be82ec8caeff4ff377bad,S1; criterios C/I de RETP-147 y relevo RETP-162,"Consulta idéntica bajo dos vigencias: DATO/8.40 frente a PERMISO_REVOCADO/null, con mismo significado y una llamada de política. Cobertura documental conforme en el par integrado.",Doce controles en seis ejecuciones: 72 observaciones; 42 capturas idénticas por ejecución; diez cuerpos históricos conservados; dos sensibilidades detectadas; 23 invocaciones sin incidencias adicionales.,https://github.com/juantoniolloretegea/SV-lenguaje-de-computacion/blob/main/docs/calidad/tuberias-ia/integracion-adenda-ia-frame-y-catalogo-errores/s2-vigencia-causal/README.md,https://github.com/juantoniolloretegea/SV-lenguaje-de-computacion/blob/main/docs/calidad/REGISTRO_EVOLUCION_TECNICA_PROYECTO.md#retp-165-cierre-s2,"S3 pendiente: correspondencia de presentación y pérdida de negación, reutilizando RETP-149/150/152.","Causalidad de instantáneas sintéticas acreditada en banco nativo; no revocación profesional, cierre universal C/I o A–L, prueba externa ni P4/P5/P6. S1 y sus fuentes originales se conservan."
0,S3,pendiente,2026-09-12T11:28:10Z,,2026-09-12T11:28:10Z,,Watson / W-S0,Correspondencia de presentación y pérdida de negación,Criterio D de la integración adenda IA y frame: precisar el objeto efectivamente presentado y un testigo de pérdida de negación; reutilizar entrega y lectura existentes.,SV-lenguaje-de-computacion: main; SV-matematica-semantica-cuaternaria: lab/playground-sv-permanente,Recepción S2 / RETP-165; el corte de ejecución se fijará antes de iniciar.,S2; criterio D de RETP-147/162; contratos de RETP-149/150/152,Pendiente de delimitar el testigo que falta respecto de las pruebas existentes; sin ejecución.,Sin nuevos resultados funcionales atribuidos a D.,https://github.com/juantoniolloretegea/SV-lenguaje-de-computacion/blob/main/docs/calidad/tuberias-ia/integracion-adenda-ia-frame-y-catalogo-errores/s2-vigencia-causal/README.md,https://github.com/juantoniolloretegea/SV-lenguaje-de-computacion/blob/main/docs/calidad/REGISTRO_EVOLUCION_TECNICA_PROYECTO.md#retp-165-cierre-s2,"Cotejar el alcance ya demostrado en presentación y fijar sólo la pérdida pendiente, con objeto mostrado y esperado previos; preparar después el alcance común de prueba externa.","Misma integración 1+3; causas conservadas y catálogo posterior. No apertura de reserva, nuevas rondas ni atribución de revisión profesional."
1,S3,en ejecución,2026-09-12T11:28:10Z,2026-09-12T11:38:45Z,2026-09-12T11:38:45Z,,Watson / W-S0,Correspondencia de presentación y pérdida de negación,Criterio D de la integración adenda IA y frame: precisar el objeto efectivamente presentado y un testigo de pérdida de negación; reutilizar entrega y lectura existentes.,SV-lenguaje-de-computacion: main; SV-matematica-semantica-cuaternaria: lab/playground-sv-permanente,Lenguaje 1430f64869b341ad0795588db425fb69e65e06cb; laboratorio 84a30056bc9707376b962b58fc6966ffee16b092,S2; criterio D de RETP-147/162; contratos de RETP-149/150/152,"Alcance, ocho controles, especímenes y esperados fijados antes de la cualificación.",Fuentes rectoras cotejadas; 73 fuentes S2 reutilizadas intactas; diferencia frente a RETP-150/152 delimitada; preparación previa conservada.,https://github.com/juantoniolloretegea/SV-lenguaje-de-computacion/blob/main/docs/calidad/tuberias-ia/integracion-adenda-ia-frame-y-catalogo-errores/s3-presentacion-y-negacion/CONTRATO_S3.md,https://github.com/juantoniolloretegea/SV-lenguaje-de-computacion/blob/main/docs/calidad/REGISTRO_EVOLUCION_TECNICA_PROYECTO.md#retp-166,"Ejecutar el contraste integrado de cobertura, escritura y recuperación del archivo, con dos sensibilidades.","Pérdida previa debe impedir escritura; alteración posterior debe detectarse al recuperar. Sin pantalla, revisión humana, host adverso ni reserva externa."
